tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
1994-367,Athens,Athens,Clay,32,A,19941003,33.959768,-83.376398
1986-367,Athens,Athens,Clay,32,A,19860616,33.959768,-83.376398
1989-367,Athens,Athens,Clay,32,A,19890410,33.959768,-83.376398
1992-367,Athens,Athens,Clay,32,A,19921005,33.959768,-83.376398
1993-367,Athens,Athens,Clay,32,A,19931004,33.959768,-83.376398
1988-367,Athens,Athens,Clay,32,A,19880613,33.959768,-83.376398
1991-367,Athens,Athens,Clay,32,A,19910930,33.959768,-83.376398
2004-96,Athens Olympics,Athens,Hard,64,A,20040816,33.959768,-83.376398
1992-409,Atlanta,Atlanta,Clay,32,A,19920427,33.748992,-84.390264
2017-6116,Atlanta,Atlanta,Hard,32,A,20170724,33.748992,-84.390264
1999-409,Atlanta,Atlanta,Clay,32,A,19990426,33.748992,-84.390264
2016-6116,Atlanta,Atlanta,Hard,32,A,20160801,33.748992,-84.390264
2022-6116,Atlanta,Atlanta,Hard,32,A,20220725,33.748992,-84.390264
1993-409,Atlanta,Atlanta,Clay,32,A,19930426,33.748992,-84.390264
1978-412,Atlanta,Atlanta,Hard,32,A,19780821,33.748992,-84.390264
2014-6116,Atlanta,Atlanta,Hard,28,A,20140721,33.748992,-84.390264
2021-6116,Atlanta,Atlanta,Hard,32,A,20210726,33.748992,-84.390264
2000-409,Atlanta,Atlanta,Clay,32,A,20000410,33.748992,-84.390264
1994-409,Atlanta,Atlanta,Clay,32,A,19940425,33.748992,-84.390264
1970-412,Atlanta,Atlanta,Hard,16,A,19700506,33.748992,-84.390264
2015-6116,Atlanta,Atlanta,Hard,28,A,20150727,33.748992,-84.390264
2013-6116,Atlanta,Atlanta,Hard,28,A,20130722,33.748992,-84.390264
1998-409,Atlanta,Atlanta,Clay,32,A,19980427,33.748992,-84.390264
1969-412,Atlanta,Atlanta,Hard,8,A,19690912,33.748992,-84.390264
1980-412,Atlanta,Atlanta,Hard,32,A,19800818,33.748992,-84.390264
1995-409,Atlanta,Atlanta,Clay,32,A,19950501,33.748992,-84.390264
2001-409,Atlanta,Atlanta,Clay,32,A,20010423,33.748992,-84.390264
2010-6116,Atlanta,Atlanta,Hard,28,A,20100719,33.748992,-84.390264
2011-6116,Atlanta,Atlanta,Hard,28,A,20110718,33.748992,-84.390264
2019-6116,Atlanta,Atlanta,Hard,32,A,20190722,33.748992,-84.390264
1996-409,Atlanta,Atlanta,Clay,32,A,19960429,33.748992,-84.390264
1986-412,Atlanta,Atlanta,Carpet,32,A,19860331,33.748992,-84.390264
1985-412,Atlanta,Atlanta,Carpet,32,A,19850422,33.748992,-84.390264
1997-409,Atlanta,Atlanta,Clay,32,A,19970428,33.748992,-84.390264
2012-6116,Atlanta,Atlanta,Hard,28,A,20120716,33.748992,-84.390264
2018-6116,Atlanta,Atlanta,Hard,32,A,20180723,33.748992,-84.390264
1979-412,Atlanta,Atlanta,Hard,32,A,19790910,33.748992,-84.390264
1981-412,Atlanta,Atlanta,Hard,32,A,19810817,33.748992,-84.390264
1996-96,Atlanta Olympics,Atlanta,Hard,64,A,19960722,33.748992,-84.390264
1973-412,Atlanta WCT,Atlanta,Clay,32,A,19730319,33.748992,-84.390264
1974-412,Atlanta WCT,Atlanta,Clay,32,A,19740331,33.748992,-84.390264
1975-412,Atlanta WCT,Atlanta,Carpet,32,A,19750324,33.748992,-84.390264
1976-412,Atlanta WCT,Atlanta,Carpet,16,A,19760114,33.748992,-84.390264
2021-8888,Atp Cup,Melbourne,Hard,12,A,20210202,-37.814218,144.963161
2022-8888,Atp Cup,Sydney,Hard,16,A,20220103,-33.854816,151.216454
2020-8888,Atp Cup,Sydney,Hard,24,A,20200106,-33.854816,151.216454
1975-301,Auckland,Auckland,Grass,32,A,19750112,-36.852095,174.76318
2005-301,Auckland,Auckland,Hard,32,A,20050110,-36.852095,174.76318
