tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date
1982-328,Basel,Basel,Hard,32,A,19821011
2010-328,Basel,Basel,Hard,32,A,20101101
1985-328,Basel,Basel,Hard,32,A,19851014
2014-328,Basel,Basel,Hard,32,A,20141020
1976-328,Basel,Basel,Carpet,16,A,19760301
1984-328,Basel,Basel,Hard,32,A,19841008
2016-0328,Basel,Basel,Hard,32,A,20161024
2009-328,Basel,Basel,Hard,32,A,20091102
1994-328,Basel,Basel,Hard,32,A,19940926
1999-328,Basel,Basel,Carpet,32,A,19991004
2006-328,Basel,Basel,Carpet,32,A,20061023
2022-0328,Basel,Basel,Hard,32,A,20221024
1988-328,Basel,Basel,Hard,32,A,19881004
2017-0328,Basel,Basel,Hard,32,A,20171023
1987-328,Basel,Basel,Hard,32,A,19871005
2003-328,Basel,Basel,Carpet,32,A,20031020
2012-328,Basel,Basel,Hard,32,A,20121022
1980-328,Basel,Basel,Hard,32,A,19801013
1997-328,Basel,Basel,Carpet,32,A,19970929
1989-328,Basel,Basel,Hard,32,A,19891003
1990-328,Basel,Basel,Hard,32,A,19900924
2011-328,Basel,Basel,Hard,32,A,20111031
1986-328,Basel,Basel,Hard,32,A,19861013
2007-328,Basel,Basel,Hard,32,A,20071022
1979-328,Basel,Basel,Hard,32,A,19791015
1978-328,Basel,Basel,Hard,32,A,19781024
1996-316,Bastad,Bastad,Clay,32,A,19960708
1982-316,Bastad,Bastad,Clay,32,A,19820712
2009-316,Bastad,Bastad,Clay,28,A,20090713
1990-316,Bastad,Bastad,Clay,32,A,19900709
1992-316,Bastad,Bastad,Clay,32,A,19920706
1988-316,Bastad,Bastad,Clay,48,A,19880711
2017-0316,Bastad,Bastad,Clay,32,A,20170717
1972-316,Bastad,Bastad,Clay,32,A,19720716
2004-316,Bastad,Bastad,Clay,32,A,20040705
1973-316,Bastad,Bastad,Clay,32,A,19730709
1997-316,Bastad,Bastad,Clay,32,A,19970707
2000-316,Bastad,Bastad,Clay,32,A,20000710
1976-316,Bastad,Bastad,Clay,64,A,19760704
2019-0316,Bastad,Bastad,Clay,32,A,20190715
2012-316,Bastad,Bastad,Clay,28,A,20120709
1993-316,Bastad,Bastad,Clay,32,A,19930705
2002-316,Bastad,Bastad,Clay,32,A,20020708
2006-316,Bastad,Bastad,Clay,32,A,20060710
1983-316,Bastad,Bastad,Clay,32,A,19830711
1999-316,Bastad,Bastad,Clay,32,A,19990705
1970-316,Bastad,Bastad,Clay,32,A,19700711
1984-316,Bastad,Bastad,Clay,32,A,19840716
2001-316,Bastad,Bastad,Clay,32,A,20010709
2022-0316,Bastad,Bastad,Clay,32,A,20220711
1994-316,Bastad,Bastad,Clay,32,A,19940704
1989-316,Bastad,Bastad,Clay,32,A,19890731
1979-316,Bastad,Bastad,Clay,32,A,19790716
2015-316,Bastad,Bastad,Clay,28,A,20150720
1986-316,Bastad,Bastad,Clay,32,A,19860721
2013-316,Bastad,Bastad,Clay,28,A,20130708
1995-316,Bastad,Bastad,Clay,32,A,19950710
2021-0316,Bastad,Bastad,Clay,32,A,20210712
1971-316,Bastad,Bastad,Clay,32,A,19710710
1991-316,Bastad,Bastad,Clay,32,A,19910708
1981-316,Bastad,Bastad,Clay,32,A,19810720
2018-0316,Bastad,Bastad,Clay,32,A,20180716
1977-316,Bastad,Bastad,Clay,32,A,19770703
1969-3944,Bastad,Bastad,Clay,8,A,19690707
1974-316,Bastad,Bastad,Clay,32,A,19740708
2005-316,Bastad,Bastad,Clay,32,A,20050704
1987-316,Bastad,Bastad,Clay,32,A,19870727
2011-316,Bastad,Bastad,Clay,28,A,20110711
2007-316,Bastad,Bastad,Clay,32,A,20070709
2010-316,Bastad,Bastad,Clay,28,A,20100712
1985-316,Bastad,Bastad,Clay,32,A,19850715
1975-316,Bastad,Bastad,Clay,32,A,19750707
1978-316,Bastad,Bastad,Clay,32,A,19780717
2014-316,Bastad,Bastad,Clay,28,A,20140707
2008-316,Bastad,Bastad,Clay,28,A,20080707
2016-0316,Bastad,Bastad,Clay,32,A,20160711
1998-316,Bastad,Bastad,Clay,32,A,19980706
2003-316,Bastad,Bastad,Clay,32,A,20030707
1980-316,Bastad,Bastad,Clay,32,A,19800714
1968-316,Bastad 1,Bastad,Clay,32,A,19680708
1968-9318,Bastad WCT,Bastad,Clay,4,A,19680726
1969-7310,Beckenham,Beckenham,Grass,64,A,19690609
1970-7310,Beckenham,Beckenham,Grass,64,A,19700608
1968-7310,Beckenham,Beckenham,Grass,64,A,19680610
1972-7310,Beckenham,Beckenham,Grass,64,A,19720612
1971-7310,Beckenham,Beckenham,Grass,64,A,19710607
1974-7310,Beckenham,Beckenham,Grass,128,A,19740610
1973-7310,Beckenham,Beckenham,Grass,64,A,19730611
2013-747,Beijing,Beijing,Hard,32,A,20130930
1995-747,Beijing,Beijing,Carpet,32,A,19951016
2010-747,Beijing,Beijing,Hard,32,A,20101004
2017-M015,Beijing,Beijing,Hard,32,A,20171002
1997-747,Beijing,Beijing,Hard,32,A,19970929
2011-747,Beijing,Beijing,Hard,32,A,20111003
2018-M015,Beijing,Beijing,Hard,32,A,20181001
2012-747,Beijing,Beijing,Hard,32,A,20121001
1996-747,Beijing,Beijing,Carpet,32,A,19961007
2014-747,Beijing,Beijing,Hard,32,A,20140929
