player_id;name_first;name_last;hand;dob;ioc;ioc_nation;height;wikidata_id
139268;Gadi;Edalati;U;19750401;USA;United States of America;;
139269;Ryan;Gerstner;U;19810603;USA;United States of America;;
139270;Jason;Holland;U;19790330;USA;United States of America;;
139271;Eric;Reblin;U;19800414;USA;United States of America;;
139272;Scott;Mcculloch;U;19781121;AUS;Australia;;
139273;Todd;Kosta;U;19760921;USA;United States of America;;
139274;Bucky;Mink;U;19811006;USA;United States of America;;
139275;Bryson;Bowden;U;19840523;USA;United States of America;;
139276;Hunter;Emmott;U;19820930;USA;United States of America;;
139277;Sean;Streckfus;U;;USA;United States of America;;
139278;Sorin;Ene;U;19820123;ROU;Romania;;
139279;David;Knaszak;U;19820113;POL;Poland;;
139280;Christian;Jeep;U;;USA;United States of America;;
139281;Tristan;Noel;U;;USA;United States of America;;
139282;Omar;Husain;U;19790917;RUS;Russia;;
139283;Benjamin;Conant;U;19810612;USA;United States of America;;
139284;Sean;Kelleher;U;19821223;USA;United States of America;;
139285;Seth;Mckinley;U;19811122;USA;United States of America;;
139286;Thomas;Reader;U;19720301;USA;United States of America;;
139287;Trey;Foster;U;;USA;United States of America;;
139288;Garrett;Mitchell;U;19770825;USA;United States of America;;
139289;Jason;Balota;U;19830224;SGP;Singapore;;
139290;Karim;Gobran;U;19840418;EGY;Egypt;;
139291;Ricardo Lopes;Almeida;U;19820926;BRA;Brazil;;
139292;Brent;Sturgess;U;19670528;USA;United States of America;;
139293;Joseph;Jung;U;19840122;JPN;Japan;;
139294;Jamal;Morgan;U;19730129;USA;United States of America;;
139295;Jim;Willerson;U;19750822;USA;United States of America;;
139296;Jarrett;Skrobarcek;U;19810420;USA;United States of America;;
139297;Stephan;Poole;U;19780702;USA;United States of America;;
139298;Martin;Kram;U;19760602;CZE;Czechia;;
139299;Adrian;Valdez;U;19720408;USA;United States of America;;
139300;Fernando;Uehara;U;19820401;BRA;Brazil;;
139301;Mark;Hilderbrand;U;19710211;USA;United States of America;;
139302;Elijah;Dougherty;U;19790729;USA;United States of America;;
139303;David;Geard;U;19790314;AUS;Australia;;
139304;Kirk;Carrington Hastings;U;19820128;AUS;Australia;;
139305;Ryan;Dougie;U;;AUS;Australia;;
139306;John;Skinner;U;19790628;AUS;Australia;;
139307;Owen;Peemoeller;U;19820313;AUS;Australia;;
139308;Ehren;Vaughan;U;19830327;AUS;Australia;;
139309;Andrew;Blaydon;U;;AUS;Australia;;
139310;Lee;Maraga;U;19820112;AUS;Australia;;
139311;Matthew;Kavanagh;U;19790128;AUS;Australia;;
139312;Can;Li;U;19811020;CHN;China;;
139313;Oliver;Hofsass;U;19760101;GER;Germany;;
139314;Ian;Bullivant;U;19830825;AUS;Australia;;
139315;Martin;Wright;U;19810907;AUS;Australia;;
139316;Marco;Mendes;U;19781023;AUS;Australia;;
139317;Luke;Kelly;U;;AUS;Australia;;
139318;Rodney;Potter;U;19740725;AUS;Australia;;
139319;Grant;Fletcher;U;;AUS;Australia;;
139320;Peter;Allott;U;19770413;AUS;Australia;;
139321;Ben;Howen;U;19841217;AUS;Australia;;
139322;Raymond;Tomazic;U;19781004;SLO;Slovenia;;
139323;Daniel;Vajdic;U;19820121;AUS;Australia;;
139324;David;Waggett;U;19801114;AUS;Australia;;
139325;Jason;Mok;R;19850322;AUS;Australia;;
139326;Richard;Hill;U;19810903;AUS;Australia;;
139327;Craig;Mccorkindale;U;;AUS;Australia;;
139328;Adrian;Muscillo;U;19790922;AUS;Australia;;
139329;Adrian;Talbot;U;19800707;AUS;Australia;;
139330;Christian;Gerloff;U;19780414;AUS;Australia;;
139331;Brett;Mclennan;U;19770323;AUS;Australia;;
139332;Adrian;Rowe;U;19770213;AUS;Australia;;
139333;Regan;Morehu;U;19810602;AUS;Australia;;
139334;Damon;Cornish;U;;AUS;Australia;;
139335;Andrew;Cook;U;19580117;AUS;Australia;;
139336;Robert;Ranieri;U;19811023;AUS;Australia;;
139337;Brad;Crosher;U;19810323;AUS;Australia;;
139338;Heath;Campling;U;19830720;AUS;Australia;;
139339;Zain;Rahmat;U;19810217;AUS;Australia;;
139340;Tomas;Thapper;U;19830815;AUS;Australia;;
139341;Allen;Despotov;U;19840406;AUS;Australia;;
139342;Ryan;Maloney;R;19790831;AUS;Australia;;
139343;Brad;Green;U;19781019;AUS;Australia;;
139344;Dani;Fernandez;U;19790902;ESP;Spain;;
139345;Matthias;Kunz;U;19811018;SUI;Switzerland;;
139346;Nathan;Kelly;U;;AUS;Australia;;
139347;Mark;Randal;U;19800205;AUS;Australia;;
139348;Musa;Kadir;U;;AUS;Australia;;
139349;Kai;Cui;U;19830302;CHN;China;;
139350;Reza;Tompsett;U;19810327;AUS;Australia;;
139351;Edward;Langbien;U;19790418;AUS;Australia;;
139352;Bertalan;Eotvos;U;19770105;AUS;Australia;;
139353;Brad;Millman;U;19781001;USA;United States of America;;
139354;Jeremy;Taylor;U;19741121;USA;United States of America;;
139355;Robert;Maloney;R;19820429;AUS;Australia;;
139356;Valerio;Cerquaglia;U;19700313;AUS;Australia;;
139357;Timothy;Walter;U;19840329;AUS;Australia;;
139358;Johnny;Siamenovic;U;;AUS;Australia;;
139359;Scott;Fletcher;L;19830404;AUS;Australia;;
139360;Zorick;Toltsan;U;;AUS;Australia;;
139361;William;Allott;U;;AUS;Australia;;
139362;John;Paparizos;U;19791229;AUS;Australia;;
139363;Todd;Langman;U;19811011;AUS;Australia;;
139364;Marc;Sophoulis;U;19811231;AUS;Australia;;
139365;Grant;Fulcher;U;;AUS;Australia;;
139366;Joakim;Aare;U;19800521;SWE;Sweden;;
139367;Roderick;Cattanach;U;;AUS;Australia;;
139368;Pablo;Hernandez;U;19620125;HON;Honduras;;
139369;Eddie;Paez;U;19820506;GUA;Guatemala;;
139370;Gumer;Mendez;U;19641012;ESA;El Salvador;;
139371;Jorge Luis;Lopez;U;19770205;NCA;Nicaragua;;
139372;Juan;Orendain;U;19840304;MEX;Mexico;;
139373;Pablo;Costa;U;19830608;HON;Honduras;;
139374;Kelvin;Almendares;U;19820123;HON;Honduras;;
139375;Francklin;Garcia;U;19770104;HON;Honduras;;
139376;Juan Carlos;Gonzalez Del Rio;U;19720119;ESP;Spain;;
139377;Andrew;Giron;U;19820527;ESA;El Salvador;;
139378;Manuel;Hochegger;U;19820730;AUT;Austria;;
139379;Mowafak;Ghazy;U;19780118;SYR;Syria;;
139380;;;U;;SWE;Sweden;;
139381;Hussien Sayed;Moustafa;U;19830930;EGY;Egypt;;
139382;Ahmed;El Basha;U;19830925;EGY;Egypt;;
139383;Nikolai;Petschnig;U;19830303;AUT;Austria;;
139384;Brian;Baxter;U;19731106;USA;United States of America;;
139385;;;U;;ROU;Romania;;
139386;Oscar;Soler Sola;U;19820515;ESP;Spain;;
139387;Gregory;Piredda;U;19790529;FRA;France;;
139388;Antonio;Rosset Hidalgo;U;19791027;ESP;Spain;;
139389;Daniel;Rosset Hidalgo;U;19830912;ESP;Spain;;
139390;Alejandro;Capel Franco;U;19810714;ESP;Spain;;
139391;David;Diaz Sanchez;U;19830414;ESP;Spain;;
139392;Antonio;Calafell;U;19830709;ESP;Spain;;
139393;Gabriele;Bosso;U;19790909;ITA;Italy;;
139394;Sergi;Farro Soler;U;19780424;ESP;Spain;;
139395;Borja;Munoz Balbuena;U;19811125;ESP;Spain;;
139396;Davor;Pilepic;U;19810420;CRO;Croatia;;
139397;Carlos;Muela Gil;U;19800819;ESP;Spain;;
139398;Ricardo;Fumana;U;;ESP;Spain;;
139399;Jesus;Beltran Palmero;U;19790621;ESP;Spain;;
139400;Jose Miguel;Garcia Guirado;U;19730409;ESP;Spain;;
139401;Diego;Agullo Lorenzo;U;19801201;ESP;Spain;;
139402;Felipe;Bernabeu Serrano;U;19840811;ESP;Spain;;
139403;Antonio Jesus;Jimenez Roz;U;19830303;ESP;Spain;;
139404;Ivan;Gallego Santos Juanes;U;19810818;ESP;Spain;;
139405;Davy;Van Der Mercken;U;19791120;BEL;Belgium;;
139406;Frederick;Kinzl;U;19801118;AUT;Austria;;
139407;Jacob;Martin Skilton;U;19821022;ESP;Spain;;
139408;Paal Eirik;Berger;U;19820114;NOR;Norway;;
139409;Luis;Caballer Varques;U;19821107;ESP;Spain;;
139410;Tom;Sampson;U;19840302;GBR;Great Britain;;
139411;Jorge;Gosalbez;U;19811028;ESP;Spain;;
139412;Jose Maria;Garcia;U;;ESP;Spain;;
139413;Pablo;Lozano Beamund;U;19800330;ESP;Spain;;
139414;Moises;Cortes;U;19811207;ESP;Spain;;
139415;Kostas;Meliopoulos;U;19831005;GRE;Greece;;
139416;Georgios;Avramidis;U;19670725;GRE;Greece;;
139417;Menelaos;Kalavrias;U;19761210;GRE;Greece;;
139418;Georgios;Anagnostakis;U;19600207;GRE;Greece;;
139419;Luca;Zammataro;U;19830701;ITA;Italy;;
